,Reviews,Sentiment
25,"<div class=""text show-more__control"">If you are thinking of watching this film, i have a suggestion.Take a spoon and gauge out your eyes then get a fork and stab into your brain. One of the WORST films ever made.Only Hobgoblins,Troll and Death wish 4 are worse.Utter S*&amp;T</div>",Negative
26,"<div class=""text show-more__control"">This is probably the worst film I have ever seen. The plot lacks direction. The film is too long. The acting is poor. It's too slow. It's pathetic. However, all the girls I know love the film, they say its brilliant, perfect, etc etc.<br/><br/>My advice, if you are female, go watch it. If you male, do anything to avoid seeing it. Out of ten, I give it zero. But then thats from a male point of view.....</div>",Negative
27,"<div class=""text show-more__control"">...oh, and a ship sinks.<br/><br/>Impossible to watch in a single sitting</div>",Negative
28,"<div class=""text show-more__control"">Aside from being widely historically inaccurate (the whole ""Are there enough lifeboats?"" thing--nobody asked that question on that ship, numerous other flukes), the film was horribly written and badly acted. Depended too heavily on Leonardo DeCaprio's brief rise to superstardom among 13 year old girls (whatever happened to that guy?). But it won a buccoo amount of Oscars, and this is just my opinion. But still, the sheer naive sense of it detracts from the entire film. --Bud Sturguess, Texas</div>",Negative
29,"<div class=""text show-more__control"">Looking at other viewers' comments, I see someone called this ""the greatest motion picture of all time"". . . in capitals, no less.  Although I wish I had Rose's wardrobe hanging in my closet, and I thought the detail was exquisite, I have to firmly disagree.  The script of this film is one of the dullest, sappiest, and most uninspired I have seen. While Kate Winslet and Leonardo DiCaprio are both talented thespians, these cardboard characters leave them few options.  The patter between Jack and Rose (""Do you trust me?"" ""I trust you!"" ""You have to trust me, Rose!"" etc.) and the melodrama made the length of the film unbearable.  I have heard this film referred to as ""epic.""  If you want to see  a real epic, rent Lawrence of Arabia instead.  It knocks the socks off of Titanic--real acting, believeable gunplay, taught emotionalism and a powerhouse performance by the incomparable Peter O'Toole.</div>",Negative
30,"<div class=""text show-more__control"">The best part of the movie had to be when Leo went under the water at the end!! I dont have anything in particular against him as an actor and i think he was great in basketball diaries but this film was terrible and there was no excuse for the terrible acting within!!</div>",Negative
31,"<div class=""text show-more__control"">I can't understand why this movie is so big. Was the American public asking itself ""Well I love cliched tragic love stories, and I love cliched stories with lots of WATER in them, why can't they combine the cliches of tragic love and water into one bloated, overblown blockbuster?""<br/><br/>I myself never pondered this question, and thus I did not enjoy Titanic.</div>",Negative
32,"<div class=""text show-more__control"">I have waited three years to see this movie and finally obtained a video for £2.  I'm glad I didn't invest more.  The acting from the leading pair is as awful as it can get.  The script is absolutely horrific.  Effects and music earn accolades as do some of the supporting cast.  The mystery is why was this film so big a blockbuster?  Maybe with proper actors......</div>",Negative
33,"<div class=""text show-more__control"">Cameron's alleged masterpiece has two things going for it: amazing digital effects and the fact that the vessel broke in half.<br/><br/>Dozens of excellent real-life stories are abandoned for an an insipid love story.<br/><br/>See the excellent ""A Night To Remember"" instead.<br/><br/>0 of 4 Niro~Stars</div>",Negative
34,"<div class=""text show-more__control"">It pains me that this is the top grossing film of all-time and I'm shocked at the lead it has over second place.  It was awful.  The music was terrible.  The plot was terrible (it's fiction, remember?).  The acting was terrible.  Leo is just not believable as the leading man, in my opinion. It's entirely too long.  I will grant that the sets were fantastic.<br/><br/>But then, I don't like Michael Jackson's ""Thriller"" either.</div>",Negative
35,"<div class=""text show-more__control"">I saw this movie twice.  I'll admit that.  However I got over the whole thing.  The dialogue is too 90's, the acting good but not Oscar caliber. The main thing that makes this movie are the fx, atmosphere, and set decoration.  Other than that this movie doesn't really have that much to offer.  Why didn't LA Confidential win best picture?  Also, doesn't James Horner's score sound recycled from Braveheart?  This movie is not as great as 15 year old girls make it out to be.</div>",Negative
36,"<div class=""text show-more__control"">So much money spent for nothing. There's nothing special about that piece of crap. Nothing innovative, nothing really interesting. Plain, old, stupid-as-hell, trivial, boring love story. A well-tested money-collecting formula, product in a shiny package. Nothing else. Shame on James Cameron for bringing such a mess into the world.<br/><br/>What did you people see here that is worth 600 mln. dolars? 0/10 ...and remember people the phrase ""I shop therefore I am."" That's all this movie is about.</div>",Negative
37,"<div class=""text show-more__control"">If you like really, really bad acting, then this enormously boring film is just the film for you! The plot is tedious and obvious. The film technique makes it difficult to tell what the special effects are - this is achieved by making everything look as if it is a badly executed special effect. You could cut two and a half hours from this film and, though it still wouldn't be any good, it would be a lot less bad.</div>",Negative
38,"<div class=""text show-more__control"">this is an extremely trite, and boring movie. the acting was much too melodramatic, and although it had astounding special effects, i can not believe that they marketed it so much to the point where there was no escaping from it. the terrible marketing, made a bad movie worse, and i have only seen it once, jan 11, 2000 it was my first --and last-- time watching a movie where i sit through 3 hours of bad acting and then watch the boat sink. terrible and highly over-rated.</div>",Negative
39,"<div class=""text show-more__control"">Waited as long as possible before watching this thing to let the public fanfare fade away, then one night, fell exhausted on ye olde couch with naught else to view... &amp; phew...it was far worse even than expected. Where to start? Acting? Where? Corny? Hey, Iowa aint got this much in a year. Shallow? A nickel couldn't have sunk in this thing. One word summation? EMBARRASSING. Ironic that Heavens Gate was same kind of film but beautifully made &amp; was an all-time disaster, whereas this pig was a big hit. Ah well, god bless the new economy &amp; remember PT Barnum.</div>",Negative
40,"<div class=""text show-more__control"">This film had good effects for a movie created in 1997. This is the only reason why it is worth watching. Once again, Hollywood does its best at taking a terrible tragedy and turning it around to be a love story. You either liked this movie for its effects and love story or you hated because of its depiction. Fist Titanic, then pearl harbor. Next, it will be on 9/11. I would like to see how America responds to a 9/11 love story. Trust me, they will do it within a few years. If you are deep into the events of titanic, it would probably be a good movie to watch. other than that, keep walking down the movie shelves.<br/><br/>later.</div>",Negative
41,"<div class=""text show-more__control"">This movie is complete rubbish. It is two hours too long and it has terrible acting in it. The ship was the only thing really impressive and Kate winsletts boobs. But Leonardo Dicaprio was totally miscasted for the movie. The love story is pathetic. The sinking of the boat is also quite impressive. But Pearl Harbor has much better effects than this. This movie stole a whole bunch of academy awards.</div>",Negative
42,"<div class=""text show-more__control"">This film is so egregious, I sometimes wonder if it wasn't constructed to be campy on purpose a la a John Waters film.  The dialogue is beyond cheesy, and the scene where Kate Winslet spit on Billy Zane is like something out of a grade-Z soap opera.  I didn't believe a second of this film - it is extraordinarily fake in every respect. Even the special effects are bad (even a blind man could tell that the ship is computer generated), which is especially pathetic given the bloated budget.  DO NOT WATCH THIS FILM!</div>",Negative
43,"<div class=""text show-more__control"">Yes, I have seen this film, and it was a plastic-pathetic semi-lovestory. The only things worth seeing are the computer animations, but I've seen better i more low-budget movies. The three hours the film lasts seem to go on forever and ever. I wouldn't recommend anyone to go and see it, you'll just loose three hours of your life you could spend picking your teeth or anything that's more interesting.</div>",Negative
44,"<div class=""text show-more__control"">I checked and I was right. This film did not win any American or British Academy Awards for ACTING! (the main purpose for a film right?) It didn't win any Golden Globes for acting either. The reason is simple. This film was terrible. The writing was bad and the the performers were worse. For all the awards this trash did win, nobody with any clout gave the actors anything. Leo didn't even get a nomination! The ship sank, and people died because a big company traded lives for profit. This story is nothing new and it has been told many times before in much better films of the same name.<br/><br/>This is 3 plus hours of my life I will never get back.</div>",Negative
45,"<div class=""text show-more__control"">this movie is awful. its only good because leo dies and the special effects are decent but just because it did really well at the box office because 100 teenage girls saw it 10,000 times, so i have to say it was horrible. the story was awful and i just wanted to see the effects, they didnt need to waste the first video on their ""love"" over the course of a month... what garbage</div>",Negative
46,"<div class=""text show-more__control"">Yeah, you heard me. The worst Star Trek movie ever made is more fun to watch than this over rated piece of garbage. It is a disaster flick. Nothing more. Acting is horrible, with exception of Billy Zane who is able to do a decent job. The special effects are the only thing going for this film. I normally enjoy movies from James Cameron (Aliens, Terminator) but I found this to be horrible. And by the way, DiCaprio can't act and that's why he didn't get an Oscar for this slop. Avoid this movie at all costs and go see with entertainment value.</div>",Negative
47,"<div class=""text show-more__control"">I am sorry, but I believe that this film was way over rated. It was too long , and really put myself to sleep. To really put it simple- the boat sank, get over it. :)</div>",Negative
48,"<div class=""text show-more__control"">I thought this movie extremely disappointing. The characters were not very motivating, and the acting was horrible.  I was not convinced of their roles at all.  The story line was also very poor and unrealistic.  I would not recommend this movie to anyone, instead I suggest the older version made in 1953. Although it isn't recent, the story is very moving and the ending quite touching.</div>",Negative
49,"<div class=""text show-more__control"">I don´t know what idea of great movies does the Academy have. Movies like this one are about the same soap opera story that we have always seen in TV for years, with the only difference of good special effects. Nothing else. The Oscar shouldn´t be given to movies like this, but to innovative way to tell stories. And Titanic, for sure, is not one of those.</div>",Negative
50,"<div class=""text show-more__control"">Bad script, with a plot patched together from the earlier Titanic films. Bad performances.  Special effects unimpressive.  Sets no better than the ones in the far superior ""A Night to Remember"".  A theme song capable of stripping the enamel off your teeth.  This movie sucks.  One can only conclude that anyone who really loves films will hate it.</div>",Negative
51,"<div class=""text show-more__control"">The only thing I got from this movie was a frightful headache...They could've made it one tape and it would've been good but they had to drag the stupid story(Which wasn't much of one)out! Watch the first tape..but forget the last one!It's really not worth the headache You'll more than likely get! The stupid flashing lights really get to you after the first time you see them..But after the second You want to scream... And then they have to drag the sinking ship out for one whole tape..really a dumb movie and I don't know why everyone raved about it unless they liked staring at Kate's boobs...Thats the only thing I can figure...And the old women was really stupid... Leo's acting really stunk...And it seems to me they couldn't make up their mind on the millionares role in the whole dumb movie....If he so cared about himself he would've forgot about the slut and left... Really a stupid movie...One word describes it well...DUMB!!!</div>",Negative
52,"<div class=""text show-more__control"">As much as I wish I could hide the fact that I saw this...thing...that passed for a movie, I just can't.  Titanic proved that James Cameron should never try a movie with depth or plot, or a good script, because this effort failed miserably.  It will be a cold day in hell before I EVER admit this movie deserved any of the Academy Awards it got, especially considering it's competition.  L.A. Confidential-one of the best movies ever.  Good Will Hunting-an excellent movie.  As Good As It Gets-very funny and well written. Titanic-a boat.  The awards it got are the reasons that I no longer respect the Academy of Motion Picture Arts And Sciences.  Anyone who thinks that the lead actors in this movie were good, well, all I can say is, especially if you're a guy, I feel sorry for you.  An un-original story, poor poorly acted, and far beyond any reasonable budget, the success of this movie really is beyond me.  I don't think it would hurt Mr. James 'I'm King Of the World' Cameron to refund my matinee ticket price.</div>",Negative
53,"<div class=""text show-more__control"">I am sorry, but I believe that this film was way over rated. It was too long , and really put myself to sleep. To really put it simple- the boat sank, get over it. :)</div>",Negative
54,"<div class=""text show-more__control"">Yes, I have seen this film, and it was a plastic-pathetic semi-lovestory. The only things worth seeing are the computer animations, but I've seen better i more low-budget movies. The three hours the film lasts seem to go on forever and ever. I wouldn't recommend anyone to go and see it, you'll just loose three hours of your life you could spend picking your teeth or anything that's more interesting.</div>",Negative
55,"<div class=""text show-more__control"">I checked and I was right. This film did not win any American or British Academy Awards for ACTING! (the main purpose for a film right?) It didn't win any Golden Globes for acting either. The reason is simple. This film was terrible. The writing was bad and the the performers were worse. For all the awards this trash did win, nobody with any clout gave the actors anything. Leo didn't even get a nomination! The ship sank, and people died because a big company traded lives for profit. This story is nothing new and it has been told many times before in much better films of the same name.<br/><br/>This is 3 plus hours of my life I will never get back.</div>",Negative
56,"<div class=""text show-more__control"">this movie is awful. its only good because leo dies and the special effects are decent but just because it did really well at the box office because 100 teenage girls saw it 10,000 times, so i have to say it was horrible. the story was awful and i just wanted to see the effects, they didnt need to waste the first video on their ""love"" over the course of a month... what garbage</div>",Negative
57,"<div class=""text show-more__control"">Yeah, you heard me. The worst Star Trek movie ever made is more fun to watch than this over rated piece of garbage. It is a disaster flick. Nothing more. Acting is horrible, with exception of Billy Zane who is able to do a decent job. The special effects are the only thing going for this film. I normally enjoy movies from James Cameron (Aliens, Terminator) but I found this to be horrible. And by the way, DiCaprio can't act and that's why he didn't get an Oscar for this slop. Avoid this movie at all costs and go see with entertainment value.</div>",Negative
58,"<div class=""text show-more__control"">This movie is complete rubbish. It is two hours too long and it has terrible acting in it. The ship was the only thing really impressive and Kate winsletts boobs. But Leonardo Dicaprio was totally miscasted for the movie. The love story is pathetic. The sinking of the boat is also quite impressive. But Pearl Harbor has much better effects than this. This movie stole a whole bunch of academy awards.</div>",Negative
59,"<div class=""text show-more__control"">This film is so egregious, I sometimes wonder if it wasn't constructed to be campy on purpose a la a John Waters film.  The dialogue is beyond cheesy, and the scene where Kate Winslet spit on Billy Zane is like something out of a grade-Z soap opera.  I didn't believe a second of this film - it is extraordinarily fake in every respect. Even the special effects are bad (even a blind man could tell that the ship is computer generated), which is especially pathetic given the bloated budget.  DO NOT WATCH THIS FILM!</div>",Negative
60,"<div class=""text show-more__control"">I saw this movie twice.  I'll admit that.  However I got over the whole thing.  The dialogue is too 90's, the acting good but not Oscar caliber. The main thing that makes this movie are the fx, atmosphere, and set decoration.  Other than that this movie doesn't really have that much to offer.  Why didn't LA Confidential win best picture?  Also, doesn't James Horner's score sound recycled from Braveheart?  This movie is not as great as 15 year old girls make it out to be.</div>",Negative
61,"<div class=""text show-more__control"">So much money spent for nothing. There's nothing special about that piece of crap. Nothing innovative, nothing really interesting. Plain, old, stupid-as-hell, trivial, boring love story. A well-tested money-collecting formula, product in a shiny package. Nothing else. Shame on James Cameron for bringing such a mess into the world.<br/><br/>What did you people see here that is worth 600 mln. dolars? 0/10 ...and remember people the phrase ""I shop therefore I am."" That's all this movie is about.</div>",Negative
62,"<div class=""text show-more__control"">If you like really, really bad acting, then this enormously boring film is just the film for you! The plot is tedious and obvious. The film technique makes it difficult to tell what the special effects are - this is achieved by making everything look as if it is a badly executed special effect. You could cut two and a half hours from this film and, though it still wouldn't be any good, it would be a lot less bad.</div>",Negative
63,"<div class=""text show-more__control"">this is an extremely trite, and boring movie. the acting was much too melodramatic, and although it had astounding special effects, i can not believe that they marketed it so much to the point where there was no escaping from it. the terrible marketing, made a bad movie worse, and i have only seen it once, jan 11, 2000 it was my first --and last-- time watching a movie where i sit through 3 hours of bad acting and then watch the boat sink. terrible and highly over-rated.</div>",Negative
64,"<div class=""text show-more__control"">Waited as long as possible before watching this thing to let the public fanfare fade away, then one night, fell exhausted on ye olde couch with naught else to view... &amp; phew...it was far worse even than expected. Where to start? Acting? Where? Corny? Hey, Iowa aint got this much in a year. Shallow? A nickel couldn't have sunk in this thing. One word summation? EMBARRASSING. Ironic that Heavens Gate was same kind of film but beautifully made &amp; was an all-time disaster, whereas this pig was a big hit. Ah well, god bless the new economy &amp; remember PT Barnum.</div>",Negative
65,"<div class=""text show-more__control"">This film had good effects for a movie created in 1997. This is the only reason why it is worth watching. Once again, Hollywood does its best at taking a terrible tragedy and turning it around to be a love story. You either liked this movie for its effects and love story or you hated because of its depiction. Fist Titanic, then pearl harbor. Next, it will be on 9/11. I would like to see how America responds to a 9/11 love story. Trust me, they will do it within a few years. If you are deep into the events of titanic, it would probably be a good movie to watch. other than that, keep walking down the movie shelves.<br/><br/>later.</div>",Negative
66,"<div class=""text show-more__control"">This movie is complete rubbish. It is two hours too long and it has terrible acting in it. The ship was the only thing really impressive and Kate winsletts boobs. But Leonardo Dicaprio was totally miscasted for the movie. The love story is pathetic. The sinking of the boat is also quite impressive. But Pearl Harbor has much better effects than this. This movie stole a whole bunch of academy awards.</div>",Negative
67,"<div class=""text show-more__control"">This film is so egregious, I sometimes wonder if it wasn't constructed to be campy on purpose a la a John Waters film.  The dialogue is beyond cheesy, and the scene where Kate Winslet spit on Billy Zane is like something out of a grade-Z soap opera.  I didn't believe a second of this film - it is extraordinarily fake in every respect. Even the special effects are bad (even a blind man could tell that the ship is computer generated), which is especially pathetic given the bloated budget.  DO NOT WATCH THIS FILM!</div>",Negative
68,"<div class=""text show-more__control"">Yes, I have seen this film, and it was a plastic-pathetic semi-lovestory. The only things worth seeing are the computer animations, but I've seen better i more low-budget movies. The three hours the film lasts seem to go on forever and ever. I wouldn't recommend anyone to go and see it, you'll just loose three hours of your life you could spend picking your teeth or anything that's more interesting.</div>",Negative
69,"<div class=""text show-more__control"">I checked and I was right. This film did not win any American or British Academy Awards for ACTING! (the main purpose for a film right?) It didn't win any Golden Globes for acting either. The reason is simple. This film was terrible. The writing was bad and the the performers were worse. For all the awards this trash did win, nobody with any clout gave the actors anything. Leo didn't even get a nomination! The ship sank, and people died because a big company traded lives for profit. This story is nothing new and it has been told many times before in much better films of the same name.<br/><br/>This is 3 plus hours of my life I will never get back.</div>",Negative
70,"<div class=""text show-more__control"">this movie is awful. its only good because leo dies and the special effects are decent but just because it did really well at the box office because 100 teenage girls saw it 10,000 times, so i have to say it was horrible. the story was awful and i just wanted to see the effects, they didnt need to waste the first video on their ""love"" over the course of a month... what garbage</div>",Negative
71,"<div class=""text show-more__control"">Yeah, you heard me. The worst Star Trek movie ever made is more fun to watch than this over rated piece of garbage. It is a disaster flick. Nothing more. Acting is horrible, with exception of Billy Zane who is able to do a decent job. The special effects are the only thing going for this film. I normally enjoy movies from James Cameron (Aliens, Terminator) but I found this to be horrible. And by the way, DiCaprio can't act and that's why he didn't get an Oscar for this slop. Avoid this movie at all costs and go see with entertainment value.</div>",Negative
72,"<div class=""text show-more__control"">I am sorry, but I believe that this film was way over rated. It was too long , and really put myself to sleep. To really put it simple- the boat sank, get over it. :)</div>",Negative
73,"<div class=""text show-more__control"">I thought this movie extremely disappointing. The characters were not very motivating, and the acting was horrible.  I was not convinced of their roles at all.  The story line was also very poor and unrealistic.  I would not recommend this movie to anyone, instead I suggest the older version made in 1953. Although it isn't recent, the story is very moving and the ending quite touching.</div>",Negative
