,Reviews,Sentiment
17,"<div class=""text show-more__control"">The worst film i see in my life. Its boring, horrible, 2 hours of my life lost. I dont know the 8,6 score in imdb.</div>",Negative
18,"<div class=""text show-more__control"">Beautiful scenery. Wonderful acting. Worst plot, ending. I want my money back.</div>",Negative
19,"<div class=""text show-more__control"">Maybe not so good as Human Centipede 1 and especialy Human Centipede 2 but on par masterpiece. Kudos to north korea.</div>",Negative
20,"<div class=""text show-more__control"">What a boring movie. I can't believe there are some people who like it. And it got an Oscar, joke.</div>",Negative
21,"<div class=""text show-more__control"">It does not represent neither the human being nor the humankind
It's important to watch in original language
The actors are really awful and the ensemble does not convey anything.
The direction is always not enough to create the right path!
Do not watch!</div>",Negative
22,"<div class=""text show-more__control"">I have no idea how this got any good reviews. It was confusing and boring. Not for me.</div>",Negative
23,"<div class=""text show-more__control"">There was nothing in this movie, bad story, bad acting.. and the worst ending... stupid movie...</div>",Negative
24,"<div class=""text show-more__control"">It is not a good movie. I am shocked. why people like this movie</div>",Negative
25,"<div class=""text show-more__control"">The movie has no plot, no action, no development. It's boring and absurd. The whole time I was hoping something to happen and I ended deeply disappointed.</div>",Negative
26,"<div class=""text show-more__control"">My God, what an disaster. To much overacting. This movie is such a flop, just like the Oscars nowadays.</div>",Negative
27,"<div class=""text show-more__control"">Good, interesting movie, however a little bit overhyped. Awful acting. Good story, bad ending.</div>",Negative
28,"<div class=""text show-more__control"">More like a play. Quite boring I'd hate to have paid to see it.</div>",Negative
29,"<div class=""text show-more__control"">The ending was ridiculous as it was created for children below 5</div>",Negative
30,"<div class=""text show-more__control"">Story is not digestive..no way around the truth of life..how one family can easily destroy another Happy family..</div>",Negative
31,"<div class=""text show-more__control"">Do not watch this if your IQ surpass amoeba´s!!!!<br/><br/>One of the worst movies I have ever seen.<br/><br/>There is absolutely nothing in this crap worth of anybody´s time and attention.<br/><br/>Except for the opening 5 mins or so, there is no smart moment in its132 min runtime.<br/><br/>Title is fitting though.</div>",Negative
32,"<div class=""text show-more__control"">Worst movie EVER. Cannot believe how the hell this movie have got 8,6 in rating. Use your time to something more valueable.</div>",Negative
33,"<div class=""text show-more__control"">Very bad and bleak i don't no Why did it get the Oscar?</div>",Negative
34,"<div class=""text show-more__control"">How the hell did this garbage win the best film award? Better yet, how was it even nominated?
It was so horrible, I stopped watching after the first 15 minutes. Poor acting! Very basic story without a plot. Worst of all, who wants to read captions and listen to this other language.
I look at all these other reviews with 10s and elaborate comments, and I wonder what exactly people are thinking! It is shameful that the Academy allowed this foreign film to compete against all the other amazing films of the year.
Was this some kind of sick political statement?</div>",Negative
35,"<div class=""text show-more__control"">The credit of 8 Oscars and praises of all the critics makes you to watch through the movie and hope to finally get stunned by some spectacular element or surprise, but instead the more you go forward with the movie, the more you get disgusted by the superficial and typical story which you one can easily guess the next event which of course you assume that it would be the most stupid thing that can follow! This movie has nothing to offer.</div>",Negative
36,"<div class=""text show-more__control"">I love Korean movies, but this movie is horrible. I wasted my time! Or maybe I can't understand the movie. Anyway I don't recommend it.Boring,
Worst movie I have seen all year.</div>",Negative
37,"<div class=""text show-more__control"">I assumed this movie would be good because it won an Oscar but it's just overrated anti-capitalist tripe. Don't bother.</div>",Negative
38,"<div class=""text show-more__control"">How can anyone rate this higher than a 1 are you serious dont be a sheep its rubbish</div>",Negative
39,"<div class=""text show-more__control"">Wondering what's the purpose behind this scenario, I hate it in all details.</div>",Negative
40,"<div class=""text show-more__control"">After watching few moments, I thought 10 star is not enough for this movie. But when i continue, I found that 1 star is more than enough for this movie. Regret. You may like the movie, but this movie was not for me .</div>",Negative
41,"<div class=""text show-more__control"">This movie was engaging and even suspenseful at times. The acting and directing are both very well done. But, the ending is over-the-top pathetic. Had I known, I wouldn't have invested 2 hours of my life for an utterly useless contribution to anything good. Pass. Save your 2 hours of life. Go for a walk. Rewatch Dumb and Dumber - you'll feel smarter than after wasting time on this attempt at a ground breaking movie. The Oscar win proves that Hollywood is morally bankrupt and void of ideas.</div>",Negative
42,"<div class=""text show-more__control"">Considering the rave reviews, I'm stunned how much I disliked this film. Could not wait for it to be over. My wife on the other hand liked it so I kept watching. The garden scene was in my opinion in poor taste as was the scenes back home with flooding rains and sewerage. Mind boggling it won best picture. Must be me though as everyone else loved it.</div>",Negative
43,"<div class=""text show-more__control"">A veiled approval of violent interaction between the 'classes' this is an incredibly disturbing movie which should NEVER have been granted Best Picture as the first Foreign language film to get that acclaim. Claims of stealing the plot are still under legal review. SHAME on the Academy for this dirty little movie...others of the year were far more deserving</div>",Negative
44,"<div class=""text show-more__control"">Made me feel depressed it was a waste of time and it overrated for no reason</div>",Negative
45,"<div class=""text show-more__control"">How this won best picture is beyond me, not entertaining on any level</div>",Negative
46,"<div class=""text show-more__control"">I don't understand high ratings for this and I don't understand the Oscar award. Grasping vicious characters abound; bloodbath and no redeeming message. I rarely walk out of movies and stayed through this one to the awful end, but I had to force myself to stay in my seat. Hated it.</div>",Negative
47,"<div class=""text show-more__control"">I can't believe I watched this film till the end. I kind of understand the metaphorical view of the director. There's no connection between scenes. In the first 20 minutes I tried really hard not to feel bored but I didn't make it. Frankly, I don't understand why this film was nominated not for an Oscar, but even for the last of the awards. Total waste of time.</div>",Negative
48,"<div class=""text show-more__control"">How did this win best picture????? The ending was nothing special and the storyline didn't make sense. Not a good film in general and to think that this won best picture, TRAVESTY!!! I saw this and Cats(2019) in the same day... and cats was WAY better. At least in cats it was visually entertaining, this doesn't have anything to show for. Would not recommend and still don't know what the hype is about. Save yourself time and money and skip this film!!!!!</div>",Negative
49,"<div class=""text show-more__control"">I can't begin to explain how horrible this movie is. I painfully watched the whole movie expecting it be good. If I can rate it a negative I would</div>",Negative
50,"<div class=""text show-more__control"">If you love gratuitous violence, this for you. Unbelievable this got those Oscars. Truly disgusting, I was ready to walk out numerous times, and am angry with myself for not having done so.<br/><br/>UGH!</div>",Negative
51,"<div class=""text show-more__control"">This was one of the worst movies that I've honestly ever seen. I don't understand all the hype. The storyline was so bland and with many loop holes . The characters were not impressive, bunch of predictable trash. Save your time and money, this left a really bad taste in my mouth.</div>",Negative
52,"<div class=""text show-more__control"">Good actors, well filmed, but the story is predictable and too depressing. It does not deserve at all its oscars and all this fuss about it.</div>",Negative
53,"<div class=""text show-more__control"">We people watch movies to entertain ourselves. But this movie, 'Parasite' is very depressing. It has exploited the topic of poverty. The end makes us feel sad.<br/><br/>Give it a pass if you don't want to get depressed.</div>",Negative
54,"<div class=""text show-more__control"">I'm not asking anyone to agree with me ... but I did not find this film beautiful moving or touching in any way shape or form... nothing that happened in this film was believable... and if we just give out acadamy awards for a bunch of random crap happening in a movie .... there is a reason this one won 4... don't fall for the hype and accidentally pay for this film like I did... waste of money and time...</div>",Negative
55,"<div class=""text show-more__control"">Stupid story and unlogic. boring..</div>",Negative
56,"<div class=""text show-more__control"">This movie is too over rated. I think it suite for 5/10. Its boring and had a bad ending for a 2.5 hours Movie.
I think it better for you to just watch from the review of other people.</div>",Negative
57,"<div class=""text show-more__control"">I am happy people are giving a try to foreign-language films, but I couldn't consider this a masterpiece: The film is boring, predictable , the characters are really not interesting, and they made a really dramatic mood to make an obvious message, I don't see any necessity of exaggerating such a simple meaning. The rich and the poor cliché</div>",Negative
58,"<div class=""text show-more__control"">Stunned at how anyone would think highly of this film. It should have been a short. Every aspect of the story line was so predictable and poorly executed. Not even a single spin that could have made it interesting. Do not pay to see this movie. Stream for free or just don't even watch it.</div>",Negative
59,"<div class=""text show-more__control"">Worst movie I have seen all year, people who said good reviews need to wake up</div>",Negative
60,"<div class=""text show-more__control"">This movie is over rated. It's a very regular foreign movie with no creativity at all in the story or the image.</div>",Negative
61,"<div class=""text show-more__control"">This movie is crap. Sorry guess I'm not woke enough to understand how this is the Best Picture. What a crock.</div>",Negative
62,"<div class=""text show-more__control"">Waste of time waste of money, frankly speaking i didnt like it at all</div>",Negative
63,"<div class=""text show-more__control"">What a wreck of a movie; filled with thoroughly loathsome characters plodding through a sophomoric plot towards a thoroughly predictable end (we didn't bother to hang around to confirm our expectations but having now read some of the reviews I see we weren't far off the mark).
The frequently high ratings for this travesty leave me totally mystified.</div>",Negative
64,"<div class=""text show-more__control"">Interesting story line, nothing revolutionary, and very mediocre acting. Not sure how this movie can get so much attention, i suspect someone has pored a lot of money into the marketing.</div>",Negative
65,"<div class=""text show-more__control"">Nice, but i will not put it on a list with movies MUST TO SEE.
Definitely not for top 250!</div>",Negative
66,"<div class=""text show-more__control"">The reason this flat movie won imo because many people have a big thing about diversity. Many were complaining that this year Oscars are not diversified enough, so they decided to give the Oscar to this stupid movie to promote diversity, could have been best foreign movie. The awards should be based on the quality and the achievement of the artist not what race they are or what's between their legs. Liberals are all about diversity even at expense of short changing really good achievements .
Would like to know who wrote those 10 star reviews.</div>",Negative
67,"<div class=""text show-more__control"">A very boring movie, waited for so long for the movie to end quickly. I was expecting something more at the start of the movie, but it ends up getting more and more unwanted to watch.</div>",Negative
68,"<div class=""text show-more__control"">I will not waste anymore of my time. I already wasted too much watching it. Terrible.<br/><br/>I guess great if you are Korean.<br/><br/>The oscars trying to make up for past mistakes........terrible movie.</div>",Negative
69,"<div class=""text show-more__control"">Well, that was a thing. It reminded me a little of the humor of ""Being John Malkovich"", but without the wit, or wits. And with big doses of ""Eeew!"" But hey,on the bright side it makes me want to see ""Being John Malkovich"" again.<br/><br/>I should have been forewarned because the writer/director Bong Joon Ho also wrote and directed the execrable ""Snowpiercer"".</div>",Negative
70,"<div class=""text show-more__control"">I'm a fan of a lot of international movies which break out of the Hollywood mold, but not this one. Could barely sit through it, and should have walked out early. It never got better. Some people seem to like it, but there are a lot of overly inflated reviews here. Maybe I'm rating too low, but I could not think of anything about it to rave about. OK...maybe the acting wasn't too bad, but the plot and script overall are a 1.</div>",Negative
71,"<div class=""text show-more__control"">I watched the film it is heavy insult ...</div>",Negative
72,"<div class=""text show-more__control"">I must have watched a different movie called Parasite"" than the one that won the Oscar. The Parasite that I watched was boring, meaningless, senselessly violent and did not evoke one emotion other than disgust and bewilderment that this movie won Best Picture. There wasn't one character that was even the slightest bit relatable and the plot was absolutely over the top unrealistic. It was a grand gesture for the Academy to award this subtitled, foreign movie, however, receiving an underdog award does not make the movie good. People are easily swayed and like to be part of the ""group"" who like a movie. Like ""drinking the Koolaid"".</div>",Negative
73,"<div class=""text show-more__control"">Such a pathetic movie. this is nothing but politics of Oscar.Some hypocrites and pseudo intellectuals promote this movie. please dont waste your valuable time by watching this idiotic movie.</div>",Negative
74,"<div class=""text show-more__control"">This Movie Is a copy of a Tamil Movie. And Now Parasite's Director is sued. Don't Watch This movie instead of it Watch The real One. Parasite DO NOT DESERVE OSCAR.</div>",Negative
75,"<div class=""text show-more__control"">I did not enjoy this movie at all and nearly walked out. My 2 adult daughters and I went, 1 had read the parent guide and was totally unprepared for the sex scene. It was WAY too graphic. We ended up looking away from the screen, but it was disgusting. Add the unnecessary vulgarity and violence and I was sorry I wasted my money. Both families were trash in their own special way. I left feeling pretty dirty by the experience. I'm not naive about human behavior, but in a day where the media pushes divisiveness, I felt like it was driving the wedge deeper by promoting hatred and distrust between the rich and poor. There are solutions to our issues and I wish the media (including ""entertainment"" media) would stop pushing their agenda.</div>",Negative
76,"<div class=""text show-more__control"">Horrible movie. There's no script at all. All the humble people - ALL - are portrayed like animals, with no principles. The director way of filming is disrespectful to the actors, which is not common in Korea. Korean movies are more elaborated, respectfull, and deep. This movie is empty.</div>",Negative
77,"<div class=""text show-more__control"">Predictably stupid
Irritating characters
Unnecessarily hyped
Bad screenplay</div>",Negative
78,"<div class=""text show-more__control"">Wth??!! It's absolutely bad, the movie is boring, pure fantasy, like science fiction movie, I think it's like a someone smoke a big one and make and boring, fanciful and idealistic movie...</div>",Negative
79,"<div class=""text show-more__control"">I have many video boxes and I bought this and watched it because IT WON A OSCAR.
So it was very bad. It was very boring. As president Donald J Trump said the film was bad. Shame on you hollywood.</div>",Negative
80,"<div class=""text show-more__control"">This movie is overrated. The only reason why it won an Oscar is because the Academy wanted to demonstrate to the world how ""progressive"" they are by (1) supporting a movie about class division and (2) desegregating the award categories so a foreign film could win best picture.</div>",Negative
81,"<div class=""text show-more__control"">This movie even made me lose trust in all Oscars awards and IMDB ratings,<br/><br/>We've watched it as a family and we all hate it and regret the time wasted on it.</div>",Negative
82,"<div class=""text show-more__control"">Maybe I dont understand how to watch a movie or rest of the world dont understand how to watch a movie. I'm on the side of this movie is overrated movie. This film not deserve Oscar or something. Movie get all the awards because of there is a little political message. I will give hint also Kim jong-un</div>",Negative
83,"<div class=""text show-more__control"">I don't care about the Oscars, this is just not a good film at all.</div>",Negative
84,"<div class=""text show-more__control"">The worst movie I have ever seen. The story is very bad and boring. Waste of time. I shocked when I saw that it got high ratings!! Really if I could rate it with (Zero), I will do. The only way that I can understand that its rate is 8.6 that IMDb forgot to put (-) and its real rate is (-8.6).</div>",Negative
85,"<div class=""text show-more__control"">So I finally saw Parasite and after weeks and weeks of hearing about how great this movie is...<br/><br/>What am going to tell you, those who didn't watch it yet..<br/><br/>Please don't. Please don't waist your time on this BS.
No Plot, no acting, no music, no dialogs, no nothing.<br/><br/>What was it? Oscars winner? Were they kidding? :(</div>",Negative
86,"<div class=""text show-more__control"">A predictable plot from the beginning with a ridiculous twist at the end. Possibly the worst movie I have seen in my lifetime. Don't be fooled by its Oscars'. A waste of time and money.</div>",Negative
87,"<div class=""text show-more__control"">Either I am living in an alternate universe - or this movie is being reviewed by paid reviewers in favor of promoting Parasite.<br/><br/>I left the cinema after an hour. I haven't done that in 10 + years.
Incredibly boring movie.
Overacting pervasive.
Story-line pedestrian.
Give it a wide birth..don't waste your money , or more importantly your time on this movie.</div>",Negative
88,"<div class=""text show-more__control"">I don't understand what the intention of the director is? What does he want to explain or to prove? Is it a critic of social inequalities? Is it a thriller? A comedy? I don't know and none of these styles is addressed adequately. This movie is clearly overrated. For sure, it is deranged and make you feel very uncomfortable sometimes. But for what purpose? I don't know. It proves one thing: that the Cannes festival is a get-together of crazy bonkers who call themselves artists - which clearly they are not.</div>",Negative
89,"<div class=""text show-more__control"">I am content with myself that I find I am literally the only person on the planet who hated this movie. I found the acting amateurish at best and the script was so wooden it's amazing they didn't carve the read sheets onto tree trunks.
Not gory, not suspenseful, not entertaining, boringly predictable. 2 hours of my life I won't be getting back.</div>",Negative
90,"<div class=""text show-more__control"">Calling this movie dreck does a disservice to dreck. Message is simple: Wealthy people crazy and evil. Poor people understandably crazy and evil. Only redeeming quality is dramatic twist at halfway point but even this soon resolves into poor people crazy and understandably evil. Watched this because I had heard it had comedic elements and it had one if you think a pratfall is funny. Hopefully the only reason this got Oscar talk is to prove non-xenophobic cred of the Academy. Please stay away from this grossly overrated dose of depression.</div>",Negative
91,"<div class=""text show-more__control"">It makes no sense of the situations. Some scenes were good but the movie is too long for the story. Also, the plot is very predecible in a lot of things.
I don't recommend this movie.</div>",Negative
92,"<div class=""text show-more__control"">I am not sure about the Korean values, but this movie is a silly adaptation of rags to riches where stereotypes are very strong and the plot is very flimsy. A lot of disgusting scenes including violence, gross and unnecessary. A dark comedy but the darkness outweighs the entertainment. I have seen much better foreign movies but at the least it was interesting to see some Korea other than Samsung, LG, Kia or Hyundai.</div>",Negative
93,"<div class=""text show-more__control"">....and I thought ""The Shape of Water"" was a horrible Best Picture winner. ""Joker."" ""1917."" ""Once Upon a Time In Hollywood."" They all lose to....this? I just might be done watching the Academy Awards.</div>",Negative
94,"<div class=""text show-more__control"">Skip this movie. Cannot understand how anyone can think this is good.</div>",Negative
95,"<div class=""text show-more__control"">Everybody and his aunts seem to love this movie - and I can't figure out why. Yes, it's technically well done but so what, many movies are well done. There is not on character of interest to me and nothing makes sense to me.</div>",Negative
96,"<div class=""text show-more__control"">In spite of the excellent reviews, this movie was painful to watch and absolutely repulsive. It got worse the longer I watched. So, what's my problem? I'm a pretty intelligent, educated 75 year old, and I am willing to watch edgy stuff. I can list a dozen edgy foreign movies with subtitles that were excellent, set in Iran, Turkey, Lebanon, and South Korea, etc. There are many moviegoers like me who need a little affirmation of the human spirit in films. This film has none. And, the reviewers who have rated it so highly can only be suspect for there sense of humanity and value. Beware the Metascore!!!!</div>",Negative
97,"<div class=""text show-more__control"">After all the hype about this film and the number of awards I was very left feeling very disappointed with this film. Whilst it may have achieved what it set out to be. It seemed neither one thing nor the other. For the most part I found it completely predictable.</div>",Negative
98,"<div class=""text show-more__control"">PARASITE (2019)<br/><br/>I watched Parasite out of curiousity after it won the Oscar. Well, I watched half of it and fast forwarded through part. The trailer repelled me, so I decided not to watch it before this point. The cinematography was wonderful, but once again, my view is in the minority in terms of public reaction to a popular film. I found the movie sadistic and disturbing. Rather than a provoking statement about class, I saw a dark, sick film laced with contempt, gratuitous violence, caricatures of people, and unlikeable characters with no moral compass. How utterly depressing.</div>",Negative
99,"<div class=""text show-more__control"">Unbeleivable this crap won best picture Ghoulish gory cheap little slasher movie Pathetic the brilliant Marriage Story lost out to this sensationalist absurdity</div>",Negative
100,"<div class=""text show-more__control"">This movie is rotten garbage. Main characters are unlikeable. The story as it plays out, predictably, is tedious. The characters lives are not interesting to watch. 36 minutes in I wondered if something interesting was going to happen. The movie is not funny and for sure not a thriller. The ending was ridiculous. I wasted my time watching this.</div>",Negative
101,"<div class=""text show-more__control"">One of the great time waster of all times , this movie never fulfilled the expectations , the reason why I wasted my time on this movie coz of Oscars but I never find anything special in this movie , many hundred movies must be rated much higher than this movie</div>",Negative
102,"<div class=""text show-more__control"">I really do not know how is it rated over 8. Too many plot holes, too much drama and lack of build-up make this film very hard to watch. Is it rated that high because the majority of voters are Korean? A waste of time.</div>",Negative
103,"<div class=""text show-more__control"">I was so curious to download this film ever since i read the reviews which are mostly positive. Turns out Parasite is just another predictable story that didnt put me on the edge of the seat as it was promised. I am seriously shocked Cannes chose this film to be its winner for 2019</div>",Negative
104,"<div class=""text show-more__control"">Absolutely one of the worst movies I've ever had to sit through. Despicable characters, a drawn out storyline, and annoying dialogue made the enjoyable act of movie watching a chore.</div>",Negative
105,"<div class=""text show-more__control"">I am sorry, I didn't like it...It could have been great, the topics were valid, but it was just not good. I don't think it was a masterpiece, at the end it was all over the place and you missed the point.
The story was not good either.
I have to disagree with the rest of the world.</div>",Negative
106,"<div class=""text show-more__control"">I can't believe that this movie is being called a masterpiece, it was ok at best. To me it feels like the director wanted to represent the feelings of the lower class population towards the rich but he failed miserably because its potrayal of both the rich and the poor is so illogical, I honestly felt like I was watching an adaptation of a bad fanfic. I think only people who are easily impressed would enjoy this movie.</div>",Negative
107,"<div class=""text show-more__control"">I was excited to see Parasite, due to rave reviews, and it winning best picture. I was warned by a theater worker that ""the first half-hour is slow, but then it gets really good"". So I made it through the first half-hour, and kept waiting for the ""really good"" part, only to find out that it was the exact same; more tedium by a family that was not really likable. The violence was not necessary either, and seemed to be a way to make it Oscar worthy. A lot of Oscar nominated movies have violence at the end, and that seems to be a way to get more respect, or something. It was sad, and horrible, in my opinion. I cannot wrap my mind around the fact that this movie, compared to 1917, Little Women and Once Upon a Time in Hollywood, won best picture! Honestly what is going on with those who vote, that vote for this drivel? It was okay, don't get me wrong, but that's all--merely okay. (For the record, I love movies with subtitles, and have seen several amazing ones, but this was not one of them.)</div>",Negative
108,"<div class=""text show-more__control"">When I find myself constantly looking at my watch and asking when a film is going to deliver any of the promises that the Critics and Reviewers have seen fit to lavish on it then there's something awry.
This isn't scathing socio-political cinema...it's not black comedy, in fact it's not remotely amusing or believable or even sympathetic to any of its characters.
It's a simple hype job.
The movie here is the real Parasite.</div>",Negative
109,"<div class=""text show-more__control"">Worst movie by far I have ever watched.
Plot is absolute crap, predictable and boring.
How did this even got nominated...?
How was this even released!???
I want to believe that all the people that voted 10 was only because it has won an Oscar and they blindly follow whatever gets a prize.
Don't waste a single second of your life watching that.</div>",Negative
110,"<div class=""text show-more__control"">This movie is trying to say that capitalism is causing both the rich and poor to become parasites - the poor are scam artists lying for money, and the rich are using the poor to nurture their kids. But it's a mess of a story, not a ""masterpiece."" In the real world, the poor definitely have to fight major barriers to get ahead, but this movie doesn't have any depth - the symbolism is amateurish, the characters are one dimensional and inconsistent, and the dialogue between rich and poor is totally unrealistic. The movie makes it seem like the poor are all scamming, bumbling psychopaths, and the rich are all naive and emotionally clueless. Sorry, it's an ignorant view of the world. It makes me realize how disconnected from reality the entertainment industry and its official reviewers have become. Or maybe Hollywood is trying to gain more money and audience share in overseas markets so they promoted this one.</div>",Negative
111,"<div class=""text show-more__control"">I tend to like western fantasy more, because it's about fictional places and abilities, not behaviors.</div>",Negative
112,"<div class=""text show-more__control"">This movie is only good for old &amp; mature people .it not for young generation 😜😂
Waste of night for me</div>",Negative
113,"<div class=""text show-more__control"">It's a sheer time waste. Till end you got bored, bored. I can't give 2 ranking too
But i spent whole 2.11 hours that's why this is.</div>",Negative
114,"<div class=""text show-more__control"">This is a real bad movie. Nothing makes sense. There is no strong story or something to focus on. Its a waste of time !</div>",Negative
115,"<div class=""text show-more__control"">So it started well with the first hour, then they didn't know what else to do with this so it became incredibly dumb. None of the characters had any substance or any interesting dialogue or anything really happening. It was very bland. The only enjoyable parts were when they showed the doggies. Nothing funny or suspenseful. I cannot believe theres this many Asians in the states that this turd won Oscars.</div>",Negative
116,"<div class=""text show-more__control"">I really don't know what planet some of these reviewers came from but this is definitely not a fantastic movie. The characters seem stereotyped and lacking depth. I tried, I often go to see movies that don't fit the box office genre but in my opinion, this year's award was looking for one of this genre, rather than it being a top movie deserving an award.</div>",Negative
117,"<div class=""text show-more__control"">I usually don't put in negative reviews but omg this was sooooo bad. 😑😑 bored out of my mind</div>",Negative
118,"<div class=""text show-more__control"">If you like this movie, you have a sick taste. Literally. You light laugh and be surprised during the movie, sure, but the ""message"" in this movie is given to you in the first three minutes. Poor people are evil leaches trying to lure the rich. What a fantastic message. And this film was given four Oscars? Laughable.</div>",Negative
119,"<div class=""text show-more__control"">This movie was well written, well acted, and the theme (the have's &amp; have not's, &amp; what they do for personal gain and how to keep it) was, indeed, vividly executed. I'm just regretful that it spent so much time on the dark sides of human nature. It's my own fault for sticking with it to the bitter end, but can you blame me? It's a pandemic, for crissake! I've already watched all the movies that actually make me feel good about the human race. This just isn't one of those.</div>",Negative
120,"<div class=""text show-more__control"">Underlining that every taste is different. I just have to say that my experience was too boring, there were even non-sense moments. Like every bad movie.</div>",Negative
121,"<div class=""text show-more__control"">Decent acting, not great.
Not suspenseful.
Not thrilling.
Not scary, not even a bit.
Decent overall message.
Parts seemed overly forced.
Too predictable.
Only finished watching hoping it would improve, but it did not.
Would have enjoyed it more had it been 35 minutes long.
2 stars for effort and production.
The high ratings are suspicious and puzzling.</div>",Negative
122,"<div class=""text show-more__control"">The film won the Oscar for the first time in the history of Korean films. I wondered where it was better than other Korean movies, so I went to see it. To be honest, I'm disappointed. The film is too stereotypical and many plots are stiff. There's a lot better than this movie, and I can' t understand it won the Oscar.</div>",Negative
123,"<div class=""text show-more__control"">A waste of time, of energy and of the stuff that award trinkets are made of. Why this shallow so-called satire has received accolades around the globe is far beyond me, but there you go: it's the emperor's clothes all over.</div>",Negative
124,"<div class=""text show-more__control"">Best foreign film -- I can't say. But best picture overall? No way. It's excruciatingly slow and the story has been done before. It's not particularly funny either (like that other Korean film from a year ago was).<br/><br/>I never connected with any of the characters or cared one bit about anyone.<br/><br/>Just another example of identity politics and Hollywood giving undeserved awards.<br/><br/>How did Joker get overlooked?</div>",Negative
125,"<div class=""text show-more__control"">I didn't enjoy a single minute of this movie. OK, the plot was interesting, the actors were good, but when ALL of the characters are unpleasant and most of them are a bunch of lazy, nasty parasites I can't have any positive feelings.
And it is not about being poor. The characters in Slumdog millionaire were in worse situation, but there was so much more humanity there...
Here, I saw an example of a mental cesspool.<br/><br/>1917 was my choice.</div>",Negative
126,"<div class=""text show-more__control"">This movie lacks depth, nuance, and completely misses the mark when it comes to emotionally impacting its audience. I'm baffled how this film has won so many awards as it doesn't draw one in to really care about what is being shown. It's silly, shallow, and makes for an okay horror flick but if you're looking to learn something, be moved or gain new perspective I suggest just reading the newspaper instead.</div>",Negative
127,"<div class=""text show-more__control"">At a loss to figure out why this film 1) won best picture of the year US Oscars 2) Cannes Palme d'Or. Also at a loss to understand why film categorized as a comedy.<br/><br/>There are moments of humor, but they are few and far between. The violence is also unwelcome.<br/><br/>On the Oscars award: ""Joker"" is a much stronger candidate. At least the audience has been advised of the violence in advance.<br/><br/>Save yourself time, and possibly money. Skip it</div>",Negative
128,"<div class=""text show-more__control"">It's a travesty that this won Best Picture over ""Once Upon a Time...in Hollywood."" Very predictable. I kept waiting for it to turn into a great movie. It didn't.</div>",Negative
